period,strategy,total_return,cagr,ann_vol,sharpe,max_drawdown,calmar,exposure,n_trades,win_rate
2010-2014 (post-GFC recovery),SMA 50/200,0.7009236063437574,0.11227022478065374,0.11598316846462334,0.9757438983028984,-0.17308104317448003,0.648656968559382,0.7551669316375199,2,1.0
2015-2019 (grinding bull),SMA 50/200,0.3548959001757501,0.06273045678024114,0.11653616120486317,0.5806310613594807,-0.19405256180165376,0.3232652854351884,0.8386327503974563,4,0.5
2020-2022 (COVID crash + 2022 bear),SMA 50/200,0.1171887788616881,0.037629208503403344,0.19489450044431492,0.28779861358318326,-0.33717261131099163,0.11160220979128103,0.6468253968253969,2,0.5
2023-2026 (AI-led rally),SMA 50/200,0.6857626204714515,0.15413826653231122,0.14365942509760624,1.0695523613290179,-0.18755226260622715,0.8218416797025273,0.9281045751633987,2,1.0
2010-2014 (post-GFC recovery),Z-rev 20/-1.0,0.23048397541230625,0.042422636077867226,0.11120426753102909,0.42933841124082617,-0.1543940701233647,0.27476855842954645,0.24324324324324326,36,0.7777777777777778
2015-2019 (grinding bull),Z-rev 20/-1.0,0.4033893259765162,0.07024308706484139,0.1009300077021821,0.7232030945717215,-0.11503738271069264,0.6106109632335398,0.24324324324324326,43,0.813953488372093
2020-2022 (COVID crash + 2022 bear),Z-rev 20/-1.0,-0.061816830750976326,-0.02104541257029635,0.20068832880768056,-0.004999202960025616,-0.30543339183364626,-0.06890344387020624,0.2830687830687831,22,0.7272727272727273
2023-2026 (AI-led rally),Z-rev 20/-1.0,0.30633604255777747,0.07611382390229804,0.10778936925223521,0.7338013620686704,-0.10570571698430009,0.720053995883712,0.22657952069716775,27,0.8518518518518519
2010-2014 (post-GFC recovery),Buy & hold,1.0059499052437326,0.14963544117058092,0.15860330859500954,0.9588761299835143,-0.18605479698230531,0.8042546797909863,0.9992050874403816,1,1.0
2015-2019 (grinding bull),Buy & hold,0.7277166823160912,0.11575800995297514,0.134241050356353,0.8833561941955398,-0.19348895820090772,0.5982667488073337,0.9992050874403816,1,1.0
2020-2022 (COVID crash + 2022 bear),Buy & hold,0.23398936197493003,0.07259838465850676,0.24985822137438107,0.40605723178243136,-0.33717261131099163,0.2153151893809831,0.9986772486772487,1,1.0
2023-2026 (AI-led rally),Buy & hold,1.1050417955039862,0.2266996397371337,0.1500945241411939,1.436473143095117,-0.18755226260622693,1.2087278318422539,0.9989106753812637,1,1.0
